Date,ROR,Index,Leverage,Alt_ROR,Settle,1.1,New High Signal,Long Index
20080101,0,307467.63,1,,386941.53,,1,386941.53
20080102,0.0643,327244.07,1,,414309.9,,1,411821.8704
20080103,-0.0136,322792.16,1,,408111.82,,,411821.8704
20080104,-0.0089,319933.27,1,,404116.41,,,411821.8704
20080107,-0.0039,318687.28,1,,402382.75,,,411821.8704
20080108,-0.0012,318289.37,1,,401851.61,,,411821.8704
20080109,0.0083,320916.63,1,,405520.51,,,411821.8704
20080110,-0.0257,312680.62,1,,394056.45,,,411821.8704
20080111,0.0019,313261.01,1,,394880.02,,,411821.8704
20080114,0.0381,325205.72,1,,411429.45,,,411821.8704
20080115,-0.0234,317608.16,1,,400839.25,,,411821.8704
20080116,-0.0371,305838.18,1,,384481,,,411821.8704
20080117,0.0473,320313.24,1,,404485.55,,,411821.8704
20080118,-0.0572,301990.37,1,,379035.32,,,411821.8704
20080121,0,301990.37,1,,379035.32,,,411821.8704
20080122,-0.055,285373.59,1,,356103.68,,,411821.8704
20080123,-0.0474,271854.79,1,,337536.43,,,411821.8704
20080124,0.0091,274323.87,1,,340915.17,,,411821.8704
20080125,0.0404,285392.97,1,,356065.44,,,411821.8704
20080128,0.0341,295125.01,1,,369421.46,,,411821.8704
20080129,-0.0089,292500.11,1,,365804.82,,,411821.8704
20080130,-0.0038,291382.79,1,,364275.76,,,411821.8704
20080131,0.0079,293691.73,1,,367441.32,,,411821.8704
20080201,-0.0171,288658.51,1,,360529.74,,,411821.8704
20080204,-0.0207,282672.19,1,,352320.48,,,411821.8704
20080205,-0.0436,270343.01,1,,335423.19,,,411821.8704
20080206,0.0161,274691.08,1,,341363.54,,,411821.8704
20080207,-0.047,261794.31,1,,323715.04,,,411821.8704
20080208,0.1221,293763.83,1,,367193.21,,,411821.8704
20080211,0.0412,305873.18,1,,383834.41,,,411821.8704
20080212,-0.0503,290492.23,1,,362596.85,,,411821.8704
20080213,0.0229,297158.95,1,,371730.66,,,411821.8704
20080214,0.0853,322491.88,1,,406610.15,,,411821.8704
20080215,-0.0235,314914.23,1,,396099.28,,,411821.8704
20080218,0,314914.23,1,,396099.28,,,411821.8704
20080219,0.121,353018.49,1,,448820.09,,1,411821.8704
20080220,0.0007,353267.76,1,,449165.68,,1,412136.0445
20080221,0.0252,362174.07,1,,461616.56,,1,423455.0196
20080222,0.0562,382514.65,1,,490153.69,,1,449397.8703
20080225,0.0243,391792.81,1,,503255.5,,1,461308.6049
20080226,0.0094,395460.03,1,,508459.16,,1,466039.2066
20080227,-0.0164,388962.15,1,,499286.56,,,457700.4764
20080228,0.0025,389936.43,1,,500659.6,,,457700.4764
20080229,0.0011,390354.24,1,,501265.39,,,457700.4764
20080303,0.0021,391175.54,1,,502423.32,,,457700.4764
20080304,-0.002,390403.12,1,,501317.99,,,457700.4764
20080305,0.0139,395819.42,1,,508983.14,,1,457700.4764
20080306,-0.0688,368603.4,1,,470463.29,,,422682.4364
20080307,-0.0671,343859.7,1,,435738.4,,,422682.4364
20080310,0.0338,355488.86,1,,451939.15,,,422682.4364
20080311,0.027,365073.1,1,,465361.74,,,422682.4364
20080312,0.0343,377586.01,1,,482919.84,,,422682.4364
20080313,0.0642,401837.08,1,,517023.64,,1,422682.4364
20080314,-0.07,373690.03,1,,477212.82,,,386490.7816
20080317,-0.1743,308542.87,1,,385716.81,,,386490.7816
20080318,0.048,323348.95,1,,406082.66,,,386490.7816
20080319,-0.1911,261550.23,1,,320720.02,,,386490.7816
20080320,-0.0618,245386.79,1,,298917.47,,,386490.7816
20080321,0,245386.79,1,,298917.47,,,386490.7816
20080324,0.0018,245838.84,1,,299509.33,,,386490.7816
20080325,0.0364,254794.73,1,,311501.68,,,386490.7816
20080326,0.0596,269989.01,1,,331923.73,,,386490.7816
20080327,0.0037,270985.04,1,,333274.66,,,386490.7816
20080328,-0.0204,265449.33,1,,325795.98,,,386490.7816
20080331,-0.01,262795.11,1,,322212.22,,,386490.7816
20080401,-0.0862,240153.33,1,,291660.06,,,386490.7816
20080402,0.0372,249087.37,1,,303594.79,,,386490.7816
20080403,-0.0296,241707.11,1,,293709.74,,,386490.7816
20080404,0.0122,244656.74,1,,297651.33,,,386490.7816
20080407,0.0446,255570.86,1,,312254.1,,,386490.7816
20080408,-0.0122,252456.4,1,,308063.65,,,386490.7816
20080409,0.0463,264140.24,1,,323753.34,,,386490.7816
20080410,-0.0039,263115.08,1,,322364.43,,,386490.7816
20080411,-0.0114,260104.3,1,,318321.98,,,386490.7816
20080414,0.0143,263814.98,1,,323329.19,,,386490.7816
20080415,0.0152,267822.86,1,,328735.25,,,386490.7816
20080416,0.0101,270536.27,1,,332387.5,,,386490.7816
20080417,-0.0069,268667.15,1,,329864.68,,,386490.7816
20080418,0.0046,269905.39,1,,331533.8,,,386490.7816
20080421,0.013,273415.29,1,,336274.73,,,386490.7816
20080422,-0.0003,273332.88,1,,336163.76,,,386490.7816
20080423,0.0052,274765.96,1,,338086.61,,,386490.7816
20080424,-0.0165,270235,1,,331950.34,,,386490.7816
20080425,0.0169,274798.25,1,,338121.3,,,386490.7816
20080428,0.0162,279244.66,1,,344146.62,,,386490.7816
20080429,-0.0419,267555.52,1,,328284.9,,,386490.7816
20080430,-0.0087,265222.28,1,,325143.22,,,386490.7816
20080501,0.0029,265990.7,1,,326180.42,,,386490.7816
20080502,-0.0055,264529.98,1,,324207.03,,,386490.7816
20080505,0.0127,267891.84,1,,328736.2,,,386490.7816
20080506,0.0044,269070.05,1,,330327.29,,,386490.7816
20080507,0.0143,272914.76,1,,335523.34,,,386490.7816
20080508,-0.0028,272143.24,1,,334489.92,,,386490.7816
20080509,0.0207,277789.53,1,,342106.26,,,386490.7816
20080512,-0.0169,273102.37,1,,335746.5,,,386490.7816
20080513,0.0108,276045.67,1,,339735.17,,,386490.7816
20080514,0.0044,277260.83,1,,341379.49,,,386490.7816
20080515,-0.0104,274381.32,1,,337474.11,,,386490.7816
20080516,-0.0093,271838.2,1,,334021.75,,,386490.7816
20080519,-0.0055,270330.11,1,,332000.92,,,386490.7816
20080520,0.0278,277853.93,1,,342153.51,,,386490.7816
20080521,0.0202,283467.46,1,,349756.16,,,386490.7816
20080522,-0.0005,283318.56,1,,349563.79,,,386490.7816
20080523,0.0098,286101.39,1,,353332.09,,,386490.7816
20080526,0,286101.39,1,,353332.09,,,386490.7816
20080527,-0.0083,283732.49,1,,350106.17,,,386490.7816
20080528,0.0055,285296.25,1,,352224.31,,,386490.7816
20080529,-0.0224,278915.02,1,,343545.5,,,386490.7816
20080530,0.0024,279589.23,1,,344452.46,,,386490.7816
20080602,0.0153,283873.31,1,,350249.6,,,386490.7816
20080603,0.0116,287175.79,1,,354718.78,,,386490.7816
