Date,ROR,Index,Leverage,,Settle,1.1
20130102,0.024,695042.44,0.7,,684374.53,
20130103,-0.0332,671991.99,0.7,,648669.73,
20130104,0.0091,678106.45,0.7,,657945.71,
20130107,-0.0096,671565.42,0.7,,648020.13,
20130108,-0.0221,656748.03,0.7,,625515.31,
20130109,0.0187,669023.8,0.7,,643896.53,
20130110,-0.0009,668415.2,0.7,,642985.88,
20130111,-0.0211,654285.56,0.7,,621666.3,
20130114,-0.0193,641675.64,0.7,,602812.05,
20130115,-0.0455,612482.15,0.7,,559710.99,
20130116,-0.0003,612287.61,0.7,,559447.12,
20130117,0.0487,642114.5,0.7,,602260.81,
20130118,-0.0043,639356.83,0.7,,598191.25,
20130121,0,639356.83,0.7,,598191.25,
20130122,0.0209,652733.73,0.7,,617837.56,
20130123,-0.0088,646969.18,0.7,,609293.75,
20130124,0.0696,691993.25,0.7,,675933.08,
20130125,0.0498,726423.66,0.7,,728829.67,
20130128,0.0178,739366.4,0.7,,749216.08,
20130129,0.0156,750867.37,0.7,,767582.57,
20130130,-0.0035,748266.5,0.7,,763360.87,
20130131,-0.0543,707668.38,0.7,,698224.38,
20130201,0.0717,758441.42,0.7,,776894.32,
20130204,-0.0496,720858.18,0.7,,716340.95,
20130205,0.0521,758389.86,0.7,,774988.81,
20130206,-0.0252,739291.1,0.7,,744299.25,
20130207,-0.0215,723369.41,0.7,,719152.57,
20130208,-0.0107,715609.7,0.7,,707060.53,
20130211,0.0047,718953.28,0.7,,712282.68,
20130212,0.0283,739285.7,0.7,,743958.91,
20130213,0.0119,748106.29,0.7,,757870.94,
20130214,0.0191,762420.9,0.7,,780617.9,
20130215,0.0203,777877.93,0.7,,805519.61,
20130218,0,777877.93,0.7,,805519.61,
20130219,0.0201,793536.68,0.7,,830962.52,
20130220,0.0688,848131.99,0.7,,920801.44,
20130221,0.0285,872285.67,0.7,,962040.19,
20130222,-0.0005,871816.29,0.7,,961284.3,
20130225,-0.0178,856327.13,0.7,,934395.8,
20130226,-0.0202,839058.8,0.7,,904735.41,
20130227,0.0107,848022.82,0.7,,919947.89,
20130228,0.038,880287.63,0.7,,974881.92,
20130301,0.0531,926994.58,0.7,,1056228.86,
20130304,-0.0144,913674.7,0.7,,1032327.91,
20130305,-0.0133,901485.82,0.7,,1010752.25,
20130306,0.0252,924216.55,0.7,,1050778.04,
20130307,-0.0166,908883.46,0.7,,1023367.75,
20130308,0.013,920692.45,0.7,,1044273.69,
20130311,-0.0026,918280.11,0.7,,1040007.08,
20130312,-0.0485,873704.21,0.7,,960743.69,
20130313,-0.0065,868025.39,0.7,,950930.38,
20130314,0.0012,869032.13,0.7,,952723.56,
20130315,-0.0006,868516.22,0.7,,951825.28,
20130318,-0.0142,856158.03,0.7,,930585.98,
20130319,0.0339,885205.23,0.7,,980159.62,
20130320,-0.0425,847587.42,0.7,,914698.96,
20130321,-0.0368,816393.73,0.7,,861803.23,
20130322,-0.0221,798333.34,0.7,,831874.03,
20130325,-0.0191,783108.78,0.7,,806905.93,
20130326,0.0355,810936.28,0.7,,851919.75,
20130327,0.0111,819906.26,0.7,,866779.66,
20130328,0.014,831364.14,0.7,,885848.82,
20130329,0,831364.14,0.7,,885848.82,
20130401,0.007,837190.39,0.7,,895593.15,
20130402,0.0093,844987.47,0.7,,908681.61,
20130403,0.0343,873981.49,0.7,,957659.55,
20130404,0.0191,890655.49,0.7,,986403.01,
20130405,0.0648,948358.91,0.7,,1086847.02,
20130408,-0.0457,905033.17,0.7,,1008795.88,
20130409,-0.0826,830292.43,0.7,,877854.18,
20130410,-0.0001,830224.97,0.7,,877716.23,
20130411,-0.0037,827154.93,0.7,,872612.93,
20130412,0.0953,906014.89,0.7,,1003292.95,
20130415,0.1371,1030249.8,0.7,,1219445.25,
20130416,-0.0584,970087.02,0.7,,1107535.02,
20130417,0.0883,1055742.92,0.7,,1261213.42,
20130418,0.0163,1072936.91,0.7,,1293518.5,
20130419,-0.0066,1065801.9,0.7,,1280102.86,
20130422,-0.0313,1032491.52,0.7,,1217140.09,
20130423,0.0118,1044699.48,0.7,,1239709.34,
20130424,-0.0467,995860.02,0.7,,1148732.39,
20130425,-0.0857,910480.71,0.7,,994030.96,
20130426,0.0115,920957.91,0.7,,1011994.52,
20130429,-0.0001,920901.02,0.7,,1011835.49,
20130430,-0.02,902495.63,0.7,,980034.94,
20130501,0.0624,958837.93,0.7,,1076134.37,
20130502,-0.0779,884098.96,0.7,,944400.15,
20130503,-0.0714,820995.43,0.7,,838438.45,
20130506,-0.0193,805139.41,0.7,,813009.81,
