Date,Date2,Settle,Open,High,Low,Change %
01/01/2013,"Jan 01, 2013",1.3205,1.3194,1.322,1.318,0.07%
02/01/2013,"Jan 02, 2013",1.3186,1.3205,1.3302,1.3157,-0.14%
03/01/2013,"Jan 03, 2013",1.3048,1.3187,1.3192,1.3046,-1.05%
04/01/2013,"Jan 04, 2013",1.3069,1.3048,1.3091,1.2999,0.16%
07/01/2013,"Jan 07, 2013",1.3117,1.3072,1.3121,1.3018,0.37%
08/01/2013,"Jan 08, 2013",1.3083,1.3116,1.3142,1.3058,-0.26%
09/01/2013,"Jan 09, 2013",1.3064,1.3081,1.3096,1.3037,-0.15%
10/01/2013,"Jan 10, 2013",1.3271,1.3065,1.3273,1.3039,1.58%
11/01/2013,"Jan 11, 2013",1.3344,1.3272,1.3366,1.3248,0.55%
14/01/2013,"Jan 14, 2013",1.3383,1.334,1.3404,1.3334,0.29%
15/01/2013,"Jan 15, 2013",1.3304,1.3382,1.3394,1.3268,-0.59%
16/01/2013,"Jan 16, 2013",1.329,1.3304,1.3325,1.3257,-0.11%
17/01/2013,"Jan 17, 2013",1.3377,1.3291,1.339,1.3271,0.65%
18/01/2013,"Jan 18, 2013",1.3319,1.3377,1.3403,1.3281,-0.43%
21/01/2013,"Jan 21, 2013",1.3314,1.3321,1.3333,1.33,-0.04%
22/01/2013,"Jan 22, 2013",1.3321,1.3312,1.3373,1.3268,0.05%
23/01/2013,"Jan 23, 2013",1.3318,1.3321,1.3356,1.3265,-0.02%
24/01/2013,"Jan 24, 2013",1.3376,1.3319,1.3394,1.3287,0.44%
25/01/2013,"Jan 25, 2013",1.3462,1.3377,1.3481,1.335,0.64%
28/01/2013,"Jan 28, 2013",1.3456,1.3464,1.3478,1.3424,-0.04%
29/01/2013,"Jan 29, 2013",1.3493,1.3455,1.3498,1.3415,0.27%
30/01/2013,"Jan 30, 2013",1.3568,1.3491,1.3588,1.3481,0.56%
31/01/2013,"Jan 31, 2013",1.3579,1.3567,1.3594,1.354,0.08%
01/02/2013,"Feb 01, 2013",1.364,1.3577,1.3712,1.3572,0.45%
