Date,Combined Index,DXY Price,DXY P&L,IQS Price,IQS P&L,Combined P&L,Adjusted DXY Price
02/01/2013,684374.53,79.948,0,684374.53,0,0,684374.53
03/01/2013,643816.0706,80.515,0.00709211,648669.73,-0.052171433,-0.059263543,689228.1894
04/01/2013,652263.0019,80.61,0.001179904,657945.71,0.014300004,0.0131201,690041.4127
07/01/2013,644373.2226,80.369,-0.002989704,648020.13,-0.015085713,-0.012096009,687978.3935
08/01/2013,621385.7105,80.445,0.000945638,625515.31,-0.034728582,-0.03567422,688628.9722
09/01/2013,637853.529,80.677,0.002883958,643896.53,0.029385724,0.026501766,690614.9492
10/01/2013,643750.8111,79.817,-0.010659792,642985.88,-0.00141428,0.009245511,683253.1378
11/01/2013,624067.3271,79.611,-0.002580904,621666.3,-0.033157151,-0.030576247,681489.7272
14/01/2013,605696.8235,79.54,-0.000891837,602812.05,-0.03032857,-0.029436734,680881.9497
15/01/2013,560165.9232,79.832,0.003671109,559710.99,-0.071499997,-0.075171106,683381.5415
16/01/2013,559747.4689,79.854,0.000275579,559447.12,-0.00047144,-0.000747018,683569.8669
17/01/2013,603586.5221,79.711,-0.001790768,602260.81,0.076528573,0.078319342,682345.7517
18/01/2013,596441.2687,80.116,0.005080855,598191.25,-0.006757139,-0.011837994,685812.6513
21/01/2013,596441.2687,80.116,0,598191.25,0,0,685812.6513
22/01/2013,617094.6995,79.973,-0.001784912,617837.56,0.032842858,0.034627769,684588.5361
23/01/2013,608429.9853,79.99,0.000212572,609293.75,-0.01382857,-0.014041142,684734.0603
24/01/2013,674845.5365,80.007,0.000212527,675933.08,0.109371432,0.109158906,684879.5845
25/01/2013,729234.3319,79.82,-0.002337295,728829.67,0.07825714,0.080594436,683278.8185
28/01/2013,749193.5336,79.868,0.000601353,749216.08,0.027971433,0.02737008,683689.7103
29/01/2013,769848.2877,79.624,-0.003055041,767582.57,0.024514276,0.027569317,681601.0104
30/01/2013,768495.3529,79.326,-0.00374259,763360.87,-0.005499995,-0.001757404,679050.0571
31/01/2013,703889.526,79.226,-0.001260621,698224.38,-0.085328568,-0.084067947,678194.0325
01/02/2013,784006.2627,79.135,-0.001148613,776894.32,0.112671431,0.113820044,677415.0502
04/02/2013,718559.2139,79.573,0.005534846,716340.95,-0.077942866,-0.083477712,681164.4378
05/02/2013,777749.8939,79.533,-0.000502683,774988.81,0.081871433,0.082374116,680822.028
06/02/2013,744662.7187,79.767,0.002942175,744299.25,-0.039600004,-0.042542179,682825.1255
07/02/2013,714929.3767,80.257,0.006142891,719152.57,-0.033785712,-0.039928603,687019.6459
08/02/2013,702382.7746,80.316,0.000735138,707060.53,-0.01681429,-0.017549429,687524.7004
11/02/2013,706931.9735,80.389,0.00090891,712282.68,0.007385718,0.006476809,688149.5984
12/02/2013,740357.6689,80.163,-0.00281133,743958.91,0.044471431,0.047282761,686214.9828
13/02/2013,754165.4131,80.167,4.98983E-05,757870.94,0.018699998,0.018650099,686249.2238
14/02/2013,773310.9979,80.538,0.004627839,780617.9,0.030014292,0.025386453,689425.075
15/02/2013,797614.7488,80.576,0.000471827,805519.61,0.031899999,0.031428172,689750.3644
18/02/2013,797614.7488,80.576,0,805519.61,0,0,689750.3644
19/02/2013,823114.8444,80.545,-0.00038473,830962.52,0.031585711,0.031970441,689484.9967
20/02/2013,905871.5355,81.155,0.007573406,920801.44,0.108114287,0.10054088,694706.7467
21/02/2013,942021.3922,81.551,0.004879551,962040.19,0.044785714,0.039906163,698096.604
22/02/2013,940888.4866,81.585,0.000416917,961284.3,-0.000785716,-0.001202633,698387.6523
25/02/2013,912356.2244,81.777,0.002353374,934395.8,-0.027971434,-0.030324807,700031.2195
26/02/2013,881576.9018,81.94,0.001993225,904735.41,-0.031742855,-0.03373608,701426.5396
27/02/2013,899283.3491,81.672,-0.003270686,919947.89,0.016814286,0.020084972,699132.3937
28/02/2013,949338.7984,82.003,0.004052797,974881.92,0.059714284,0.055661488,701965.8351
01/03/2013,1024444.555,82.358,0.00432911,1056228.86,0.083442865,0.079113755,705004.7223
04/03/2013,1002544.047,82.255,-0.001250637,1032327.91,-0.022628571,-0.021377934,704123.017
05/03/2013,982907.2006,82.147,-0.00131299,1010752.25,-0.020900006,-0.019587016,703198.5105
06/03/2013,1017522.846,82.507,0.004382388,1050778.04,0.039600001,0.035217613,706280.199
07/03/2013,995715.7461,82.123,-0.004654151,1023367.75,-0.026085709,-0.021431558,702993.0646
08/03/2013,1008684.985,82.731,0.007403529,1044273.69,0.02042857,0.013025041,708197.694
11/03/2013,1006404.825,82.58,-0.001825192,1040007.08,-0.00408572,-0.002260528,706905.0969
12/03/2013,929519.6009,82.595,0.000181642,960743.69,-0.076214279,-0.076395921,707033.5006
13/03/2013,916570.2615,82.902,0.003716932,950930.38,-0.010214285,-0.013931217,709661.496
14/03/2013,921383.2916,82.623,-0.003365419,952723.56,0.001885711,0.005251131,707273.1875
15/03/2013,924607.2187,82.256,-0.004441862,951825.28,-0.000942855,0.003499008,704131.5773
18/03/2013,900400.7578,82.574,0.003865979,930585.98,-0.022314284,-0.026180264,706853.7354
19/03/2013,948366.3881,82.574,0,980159.62,0.053271424,0.053271424,706853.7354
20/03/2013,885029.0618,82.574,0,914698.96,-0.066785714,-0.066785714,706853.7354
21/03/2013,830301.4377,82.905,0.004008526,861803.23,-0.057828567,-0.061837093,709687.1768
22/03/2013,805231.9258,82.529,-0.004535312,831874.03,-0.034728577,-0.030193266,706468.5244
25/03/2013,776516.7273,82.995,0.0056465,806905.93,-0.03001428,-0.03566078,710457.5989
26/03/2013,819339.3862,83.048,0.000638593,851919.75,0.05578571,0.055147117,710911.2919
27/03/2013,830049.697,83.411,0.004370966,866779.66,0.017442852,0.013071886,714018.6612
28/03/2013,850659.3094,83.175,-0.002829363,885848.82,0.022000009,0.024829372,711998.4431
01/04/2013,853482.0562,82.899,-0.003318305,885848.82,0,0.003318305,709635.8153
02/04/2013,860883.3313,83.092,0.002328134,895593.15,0.010999992,0.008671858,711287.9427
