Date,ROR,Index,Leverage,,Settle,1.1
,,,,,,
19950929,0,1000,1,,1000,
19951002,-0.0145,985.48,1,,984.05,
19951003,-0.0182,967.55,1,,964.35,
19951004,-0.0025,965.13,1,,961.7,
19951005,-0.0541,912.92,1,,904.47,
19951006,-0.0043,909.02,1,,900.19,
19951009,0.0057,914.21,1,,905.83,
19951010,-0.0248,891.51,1,,881.12,
19951011,-0.024,870.08,1,,857.86,
19951012,-0.013,858.76,1,,845.59,
19951013,0.0383,891.68,1,,881.22,
19951016,-0.001,890.79,1,,880.25,
19951017,-0.0175,875.23,1,,863.3,
19951018,0.021,893.61,1,,883.25,
19951019,0.0182,909.87,1,,900.93,
19951020,-0.0404,873.15,1,,860.89,
19951023,-0.0223,853.69,1,,839.77,
19951024,0.0082,860.73,1,,847.35,
19951025,-0.0259,838.45,1,,823.21,
19951026,-0.0568,790.81,1,,771.77,
19951027,-0.0085,784.1,1,,764.56,
19951030,-0.0061,779.34,1,,759.43,
19951031,-0.0646,729.03,1,,705.46,
19951101,0.0758,784.27,1,,764.28,
19951102,-0.0378,754.6,1,,732.5,
19951103,0.0175,767.77,1,,746.61,
19951106,-0.0276,746.61,1,,723.94,
19951107,-0.0453,712.8,1,,687.86,
19951108,0.0228,729.03,1,,705.12,
19951109,-0.0881,664.83,1,,636.78,
19951110,0.0053,668.38,1,,640.5,
19951113,0.0134,677.34,1,,649.94,
19951114,-0.0595,637.06,1,,607.4,
19951115,-0.0118,629.53,1,,599.51,
19951116,0.053,662.91,1,,634.47,
19951117,0.0601,702.73,1,,676.41,
19951120,-0.0206,688.28,1,,661.08,
19951121,-0.0369,662.85,1,,634.25,
19951122,0.0016,663.94,1,,635.37,
19951123,-0.0005,663.63,1,,635.02,
19951124,0.0509,697.42,1,,670.57,
19951127,0.0423,726.94,1,,701.77,
19951128,-0.0131,717.41,1,,691.66,
19951129,0.0271,736.89,1,,712.28,
19951130,0.0633,783.55,1,,761.87,
19951201,0.0763,843.34,1,,825.82,
19951204,0.0639,897.26,1,,883.87,
19951205,0.0044,901.24,1,,888.14,
19951206,0.0447,941.56,1,,931.81,
19951207,-0.0075,934.49,1,,924.13,
19951208,0.0956,1023.82,1,,1021.31,
19951211,-0.0354,987.59,1,,981.54,
19951212,-0.0442,943.97,1,,933.82,
19951213,-0.0151,929.74,1,,918.3,
19951214,-0.0401,892.42,1,,877.8,
19951215,0.0485,935.68,1,,924.63,
19951218,0.0219,956.15,1,,946.9,
19951219,0.0361,990.65,1,,984.5,
19951220,0.0554,1045.52,1,,1044.5,
19951221,0.0486,1096.31,1,,1100.34,
