Date,P&L,Settle,signal,Outcome
2014-03-06,-0.4679999999999893,79.665,2.0,0.0
2014-05-06,-0.8349999999999937,79.126,2.0,0.0
2014-06-27,-0.35999999999999943,80.086,2.0,0.0
2014-07-16,4.616,80.625,1.0,1.0
2014-10-31,0.6329999999999956,87.016,1.0,1.0
2014-12-02,-0.4060000000000059,88.703,1.0,0.0
2014-12-19,4.356999999999999,89.841,1.0,1.0
2015-02-26,1.9620000000000033,95.336,1.0,1.0
2015-04-28,0.8310000000000031,96.194,2.0,1.0
2015-05-26,-1.5289999999999964,97.407,1.0,0.0
2015-07-01,0.09600000000000364,96.509,1.0,1.0
