,P&L,Settle,signal,Outcome
38,9.999999999998899e-05,,,
39,-0.012799999999999923,,,
41,0.00770000000000004,,,
42,-0.008299999999999974,1.3056,-1.0,
96,-0.0032999999999998586,,,
97,-0.0004999999999999449,,,
98,-0.0042999999999999705,,,
99,0.0043999999999999595,,,
100,0.0022999999999999687,,,
101,-0.0047999999999999154,,,
102,0.007800000000000029,,,
103,-0.000400000000000178,,,
105,-0.007599999999999829,,,
106,0.008499999999999952,,,
107,0.01089999999999991,1.305,-1.0,
113,0.0023999999999999577,,,
114,-0.0034000000000000696,,,
115,-0.005799999999999805,,,
116,-0.002200000000000202,,,
117,-0.0037999999999998035,,,
118,0.0027999999999999137,,,
119,-0.0021999999999999797,,,
120,-0.0024999999999999467,1.3394,-2.0,
166,0.005999999999999783,,,
167,0.00010000000000021103,,,
168,-0.0026000000000001577,,,
169,0.0013000000000000789,,,
170,-0.0023999999999999577,,,
171,0.00529999999999986,,,
172,0.00990000000000002,1.3241,-2.0,
175,-0.0021999999999999797,,,
176,0.0039000000000000146,,,
177,-0.00890000000000013,,,
178,0.006000000000000227,,,
179,0.00749999999999984,,,
180,0.0013000000000000789,,,
181,0.0043999999999999595,1.3312,-1.0,
187,-0.0008000000000001339,,,
188,0.000600000000000156,,,
189,0.0031000000000001027,,,
190,0.0019000000000000128,,,
191,-0.0052000000000000934,,,
192,0.0037000000000000366,,,
193,-0.0033000000000000806,,,
194,-0.00039999999999995595,,,
196,-0.005300000000000082,,,
197,-0.0038999999999997925,,,
198,0.006000000000000005,,,
199,-0.0024000000000001798,,,
200,0.0009000000000001229,,,
201,0.004899999999999904,,,
202,0.000400000000000178,,,
203,-0.002200000000000202,,,
204,-0.0019000000000000128,,,
205,0.0038000000000000256,1.3523,-2.0,
208,-0.0009000000000001229,,,
209,0.00019999999999997797,,,
210,-0.009800000000000031,,,
211,0.000400000000000178,,,
212,-0.0022999999999999687,,,
213,-0.000500000000000167,,,
214,0.0020999999999999908,,,
215,0.0038000000000000256,,,
216,0.001000000000000112,,,
217,0.01519999999999988,1.3584,-2.0,
244,-0.0032999999999998586,,,
245,-0.002200000000000202,,,
246,-0.0024999999999999467,,,
247,0.0031000000000001027,,,
248,0.0011999999999998678,,,
249,-0.0018000000000000238,,,
250,-0.0006999999999999229,,,
251,0.008299999999999974,,,
252,0.0021999999999999797,,,
253,-0.0008999999999999009,,,
254,-0.0023999999999999577,,,
255,0.0011999999999998678,,,
256,0.00039999999999995595,1.368,-2.0,
264,0.0040000000000000036,,,
265,-0.0012000000000000899,,,
266,-0.0040999999999999925,,,
267,0.0034000000000000696,,,
268,0.006099999999999994,,,
269,0.00019999999999997797,,,
270,0.0006999999999999229,1.3679,-1.0,
284,0.0038000000000000256,,,
285,-0.0005999999999999339,,,
286,0.0013999999999998458,,,
287,0.005700000000000038,,,
288,0.0044999999999999485,1.3635,-1.0,
308,-0.0016999999999998128,,,
309,9.999999999998899e-05,,,
310,0.0018000000000000238,,,
311,-0.0045000000000001705,,,
312,0.0035000000000000586,,,
313,-0.0044999999999999485,,,
314,-0.0008000000000001339,,,
315,-0.0011999999999998678,,,
316,0.010099999999999998,,,
317,0.005400000000000071,1.3779,-2.0,
351,0.0016000000000000458,,,
352,0.007099999999999884,1.3841,-2.0,
356,0.0010999999999998789,,,
357,-0.00039999999999995595,,,
358,-0.0016000000000000458,,,
359,0.0014000000000000679,,,
360,-0.0005999999999999339,,,
361,-0.0016000000000000458,,,
362,-0.0031000000000001027,,,
363,-0.0021999999999999797,,,
364,0.0012000000000000899,,,
365,-0.0012000000000000899,,,
366,-0.0042999999999999705,,,
367,0.001100000000000101,,,
368,0.0028999999999999027,,,
369,-0.0034000000000000696,,,
370,0.0031000000000001027,,,
371,-0.0028999999999999027,,,
372,0.006099999999999772,,,
373,-0.0016999999999998128,,,
374,-0.0049000000000001265,,,
375,-0.0045999999999999375,1.3548,-1.0,
390,0.0013000000000000789,,,
391,0.0019000000000000128,,,
392,0.004899999999999904,,,
393,0.0015000000000000568,1.3596,-2.0,
402,0.00019999999999997797,,,
403,-0.00019999999999997797,,,
404,-0.00019999999999997797,,,
405,-0.005700000000000038,,,
406,-9.999999999998899e-05,,,
407,-9.999999999998899e-05,,,
408,-0.0032000000000000917,,,
409,0.0009000000000001229,,,
410,-0.0031000000000001027,,,
411,-0.0013000000000000789,,,
412,-0.0007999999999999119,1.3389,-1.0,
479,-0.0041999999999999815,,,
480,0.006299999999999972,,,
481,-0.006000000000000005,,,
482,-0.011099999999999888,1.2375,-1.0,
502,0.006799999999999917,,,
503,-0.009400000000000075,,,
504,0.0032000000000000917,,,
505,0.005800000000000027,,,
506,0.007299999999999862,1.2448,-1.0,
514,0.00029999999999996696,,,
515,-0.005900000000000016,,,
516,0.0022999999999999687,,,
517,0.0026999999999999247,,,
518,-0.0045999999999999375,,,
519,-0.0023999999999999577,,,
520,0.0004999999999999449,,,
521,-0.005900000000000016,1.2098,-1.0,
563,-0.00029999999999996696,,,
564,-0.0009999999999998899,,,
565,-0.0009000000000001229,,,
566,-0.00969999999999982,1.1079,-1.0,
607,-0.009300000000000086,,,
608,0.0022999999999999687,,,
609,0.005600000000000049,,,
610,-0.0040000000000000036,,,
611,-0.016699999999999937,1.1353,-2.0,
626,0.0032000000000000917,,,
627,0.0043999999999999595,,,
628,0.0039000000000000146,,,
629,-0.006000000000000005,,,
630,0.022699999999999942,1.1155,-1.0,
652,0.0030000000000001137,,,
653,0.0029999999999998916,,,
654,-0.005700000000000038,,,
655,-0.0044999999999999485,,,
656,0.00649999999999995,,,
657,-0.0039000000000000146,,,
658,0.012600000000000167,,,
659,-0.016000000000000014,,,
660,0.0007999999999999119,,,
661,-0.006299999999999972,,,
662,-0.007400000000000073,1.0875,-1.0,
682,0.0007999999999999119,,,
683,0.0041999999999999815,,,
684,0.0025999999999999357,,,
685,0.006000000000000005,,,
686,-0.009800000000000031,,,
687,-0.012299999999999978,,,
688,-0.014699999999999935,1.1389,-2.0,
727,0.008999999999999897,,,
