,Date,Date2,Settle,Open,High,Low,Change %,MA,STD,Upper Band,Lower Band,Short Position Stop,Long Position Stop,Short Position Stop Clone,Long Position Stop Clone
0,01/01/2013,"Jan 01, 2013",1.3205,1.3194,1.3219999999999998,1.318,0.07%,,,,,,,0.0,0.0
1,02/01/2013,"Jan 02, 2013",1.3186,1.3205,1.3302,1.3157,-0.14%,,,,,,,0.0,0.0
2,03/01/2013,"Jan 03, 2013",1.3048,1.3187,1.3192,1.3046,-1.05%,,,,,,,0.0,0.0
3,04/01/2013,"Jan 04, 2013",1.3069,1.3048,1.3091,1.2999,0.16%,,,,,,,0.0,0.0
4,07/01/2013,"Jan 07, 2013",1.3117,1.3072,1.3121,1.3018,0.37%,,,,,,,0.0,0.0
5,08/01/2013,"Jan 08, 2013",1.3083,1.3116,1.3142,1.3058,-0.26%,,,,,,,0.0,0.0
6,09/01/2013,"Jan 09, 2013",1.3064,1.3081,1.3096,1.3037,-0.15%,,,,,,,0.0,0.0
7,10/01/2013,"Jan 10, 2013",1.3271,1.3065,1.3273,1.3039,1.58%,,,,,,,0.0,0.0
8,11/01/2013,"Jan 11, 2013",1.3344,1.3272,1.3366,1.3248,0.55%,,,,,,,0.0,0.0
9,14/01/2013,"Jan 14, 2013",1.3383,1.334,1.3404,1.3334,0.29%,,,,,,,0.0,0.0
10,15/01/2013,"Jan 15, 2013",1.3304,1.3382,1.3394,1.3268,-0.59%,,,,,,,0.0,0.0
11,16/01/2013,"Jan 16, 2013",1.329,1.3304,1.3325,1.3257,-0.11%,,,,,,,0.0,0.0
12,17/01/2013,"Jan 17, 2013",1.3377,1.3291,1.339,1.3271,0.65%,,,,,,,0.0,0.0
13,18/01/2013,"Jan 18, 2013",1.3319,1.3377,1.3403,1.3281,-0.43%,,,,,,,0.0,0.0
14,21/01/2013,"Jan 21, 2013",1.3314,1.3321,1.3333,1.33,-0.04%,,,,,,,0.0,0.0
15,22/01/2013,"Jan 22, 2013",1.3321,1.3312,1.3373,1.3268,0.05%,,,,,,,0.0,0.0
16,23/01/2013,"Jan 23, 2013",1.3318,1.3321,1.3356,1.3265,-0.02%,,,,,,,0.0,0.0
17,24/01/2013,"Jan 24, 2013",1.3376,1.3319,1.3394,1.3287,0.44%,,,,,,,0.0,0.0
18,25/01/2013,"Jan 25, 2013",1.3462,1.3377,1.3481,1.335,0.64%,,,,,,,0.0,0.0
19,28/01/2013,"Jan 28, 2013",1.3456,1.3464,1.3478,1.3424,-0.04%,1.3265350000000002,0.012738456539157441,1.352011913078315,1.3010580869216855,,,0.0,0.0
20,29/01/2013,"Jan 29, 2013",1.3493,1.3455,1.3498,1.3415,0.27%,1.3279750000000001,0.013575193368788667,1.3551253867375774,1.3008246132624228,,,0.0,0.0
21,30/01/2013,"Jan 30, 2013",1.3568,1.3491,1.3588,1.3481,0.56%,1.3298850000000002,0.014757617524519524,1.3594002350490393,1.3003697649509611,,,0.0,0.0
22,31/01/2013,"Jan 31, 2013",1.3579,1.3567,1.3594,1.354,0.08%,1.3325400000000003,0.014782334051157458,1.3621046681023152,1.3029753318976853,,,0.0,0.0
23,01/02/2013,"Feb 01, 2013",1.364,1.3577,1.3712,1.3572,0.45%,1.3353950000000003,0.015065937574542495,1.3655268751490852,1.3052631248509154,,,0.0,0.0
24,04/02/2013,"Feb 04, 2013",1.3514,1.3642,1.3659,1.3504,-0.92%,1.3373800000000002,0.014414492706995028,1.3662089854139903,1.3085510145860102,,,0.0,0.0
25,05/02/2013,"Feb 05, 2013",1.3584,1.3514,1.3599,1.3459,0.52%,1.3398850000000002,0.013465224654643356,1.366815449309287,1.3129545506907134,,,0.0,0.0
26,06/02/2013,"Feb 06, 2013",1.3523,1.3584,1.3598,1.3495,-0.45%,1.3421800000000004,0.01129998230087187,1.3647799646017442,1.3195800353982565,,,0.0,0.0
27,07/02/2013,"Feb 07, 2013",1.3396,1.3521,1.3577,1.3369,-0.94%,1.3428050000000002,0.010782461453676442,1.3643699229073531,1.3212400770926473,,,0.0,0.0
28,08/02/2013,"Feb 08, 2013",1.3365,1.3398,1.3431,1.3354,-0.23%,1.3429100000000003,0.010710084033284632,1.3643301680665696,1.321489831933431,,,0.0,0.0
29,11/02/2013,"Feb 11, 2013",1.3407,1.3359,1.3428,1.3325,0.31%,1.3430300000000004,0.010671133960363281,1.3643722679207269,1.321687732079274,,,0.0,0.0
30,12/02/2013,"Feb 12, 2013",1.3454,1.3406,1.3476,1.3365,0.35%,1.3437800000000004,0.01027694507137308,1.3643338901427466,1.3232261098572542,,,0.0,0.0
31,13/02/2013,"Feb 13, 2013",1.3453,1.3453,1.3521,1.3426,-0.01%,1.3445950000000004,0.00970280758337606,1.3640006151667525,1.3251893848332483,,,0.0,0.0
32,14/02/2013,"Feb 14, 2013",1.3361,1.3451,1.3456,1.3314,-0.68%,1.3445150000000006,0.00976571937954495,1.3640464387590905,1.3249835612409107,,,0.0,0.0
33,15/02/2013,"Feb 15, 2013",1.3363,1.3363,1.3394,1.3306,0.01%,1.3447350000000005,0.009525664018850345,1.3637863280377012,1.3256836719622997,,,0.0,0.0
34,18/02/2013,"Feb 18, 2013",1.3352,1.3357,1.3377,1.3321,-0.08%,1.3449250000000006,0.009292839985710512,1.3635106799714216,1.3263393200285796,,,0.0,0.0
35,19/02/2013,"Feb 19, 2013",1.3388,1.3352,1.3397,1.3329,0.27%,1.3452600000000006,0.008938478617752602,1.3631369572355059,1.3273830427644953,,,0.0,0.0
36,20/02/2013,"Feb 20, 2013",1.3281,1.3387,1.3434,1.327,-0.80%,1.3450750000000005,0.009248074123838991,1.3635711482476784,1.3265788517523225,,,0.0,0.0
37,21/02/2013,"Feb 21, 2013",1.3189,1.3283,1.3291,1.3161,-0.69%,1.3441400000000006,0.010775685593038578,1.3656913711860776,1.3225886288139235,,1.305711,0.0,1.305711
38,22/02/2013,"Feb 22, 2013",1.319,1.319,1.3247,1.3146,0.01%,1.3427800000000005,0.012068744756602388,1.3669174895132052,1.3186425104867958,,1.305711,0.0,1.305711
39,25/02/2013,"Feb 25, 2013",1.3062,1.3175,1.3319,1.3047,-0.97%,1.3408100000000005,0.014431940271495547,1.3696738805429916,1.3119461194570095,,1.305711,0.0,1.305711
40,26/02/2013,"Feb 26, 2013",1.3062,1.3062,1.3121,1.3018,0.00%,1.3386550000000006,0.016122204408827348,1.3708994088176554,1.3064105911823458,,1.305711,0.0,1.305711
41,27/02/2013,"Feb 27, 2013",1.3139,1.306,1.3148,1.3041,0.59%,1.3365100000000005,0.016416543485155734,1.369343086970312,1.303676913029689,,1.305711,0.0,1.305711
42,28/02/2013,"Feb 28, 2013",1.3056,1.3138,1.3163,1.3051,-0.63%,1.3338950000000005,0.016957578689188076,1.3678101573783767,1.2999798426216242,,1.305711,0.0,1.305711
43,01/03/2013,"Mar 01, 2013",1.3022,1.3055,1.3102,1.2967,-0.26%,1.3308050000000002,0.016820358943851376,1.364445717887703,1.2971642821122975,,1.305711,0.0,1.305711
44,04/03/2013,"Mar 04, 2013",1.3026,1.3018,1.3032,1.2982,0.03%,1.3283650000000005,0.01719125577146703,1.3627475115429346,1.2939824884570663,,1.305711,0.0,1.305711
45,05/03/2013,"Mar 05, 2013",1.3051,1.3026,1.3077,1.3009,0.19%,1.3257000000000005,0.016443691799592784,1.3585873835991862,1.292812616400815,,1.305711,0.0,1.305711
46,06/03/2013,"Mar 06, 2013",1.2967,1.3053,1.3072,1.2963,-0.64%,1.3229200000000005,0.016411538623785145,1.355743077247571,1.2900969227524302,,1.305711,0.0,1.305711
47,07/03/2013,"Mar 07, 2013",1.3106,1.2967,1.3121,1.2967,1.07%,1.3214700000000006,0.016152835664365255,1.353775671328731,1.2891643286712702,,1.305711,0.0,1.305711
48,08/03/2013,"Mar 08, 2013",1.3006,1.3107,1.3136,1.2957,-0.76%,1.3196750000000006,0.016376045768133046,1.3524270915362666,1.2869229084637346,,1.305711,0.0,1.305711
49,11/03/2013,"Mar 11, 2013",1.3045,1.2999,1.3054,1.298,0.30%,1.3178650000000005,0.01594710867210688,1.3497592173442143,1.2859707826557867,,1.305711,0.0,1.305711
50,12/03/2013,"Mar 12, 2013",1.3034,1.3044,1.3076,1.2992,-0.08%,1.3157650000000003,0.01491486758238181,1.345594735164764,1.2859352648352367,,1.305711,0.0,1.305711
51,13/03/2013,"Mar 13, 2013",1.2961,1.3034,1.3065,1.2923,-0.56%,1.3133050000000004,0.01386078911894919,1.3410265782378987,1.285583421762102,,1.305711,0.0,1.305711
52,14/03/2013,"Mar 14, 2013",1.3005,1.2961,1.3033,1.2911,0.34%,1.3115250000000003,0.013083228768158815,1.337691457536318,1.2853585424636826,,1.305711,0.0,1.305711
53,15/03/2013,"Mar 15, 2013",1.3076,1.3005,1.3109,1.2999,0.55%,1.3100900000000002,0.011797961688358598,1.3336859233767173,1.286494076623283,,1.305711,0.0,1.305711
54,18/03/2013,"Mar 18, 2013",1.2956,1.2959,1.2997,1.2882,-0.92%,1.3081100000000003,0.01068849381344143,1.329486987626883,1.2867330123731175,,1.305711,0.0,1.305711
55,19/03/2013,"Mar 19, 2013",1.2883,1.2957,1.2971,1.2845,-0.56%,1.3055850000000002,0.008966396990986544,1.3235177939819733,1.287652206018027,,1.305711,0.0,1.305711
56,20/03/2013,"Mar 20, 2013",1.2933,1.2881,1.2978,1.2854,0.39%,1.3038450000000004,0.007718061608977328,1.319281123217955,1.2884088767820456,,1.305711,0.0,1.305711
57,21/03/2013,"Mar 21, 2013",1.2898,1.2932,1.2956,1.288,-0.27%,1.3023900000000004,0.007482105318689885,1.3173542106373801,1.2874257893626206,,1.305711,0.0,1.305711
58,22/03/2013,"Mar 22, 2013",1.2988,1.2898,1.3011,1.2889,0.70%,1.3013800000000004,0.006466188985791094,1.3143123779715826,1.2884476220284182,,1.305711,0.0,1.305711
59,25/03/2013,"Mar 25, 2013",1.2852,1.2972,1.3049,1.2830000000000001,-1.05%,1.3003300000000002,0.00725514300341246,1.3148402860068251,1.2858197139931753,,1.305711,0.0,1.305711
60,26/03/2013,"Mar 26, 2013",1.2861,1.2852,1.2890000000000001,1.2828,0.07%,1.2993250000000003,0.007747830341454508,1.3148206606829094,1.2838293393170912,,1.305711,0.0,1.305711
61,27/03/2013,"Mar 27, 2013",1.278,1.2862,1.2868,1.275,-0.63%,1.2975300000000003,0.008301993736444309,1.314133987472889,1.2809260125271116,,1.305711,0.0,1.305711
62,28/03/2013,"Mar 28, 2013",1.2816,1.278,1.2845,1.2755,0.28%,1.2963300000000004,0.008770125426694819,1.3138702508533902,1.2787897491466107,,1.305711,0.0,1.305711
63,29/03/2013,"Mar 29, 2013",1.2819999999999998,1.2816,1.2839,1.2793,0.03%,1.2953200000000005,0.009189102241239764,1.31369820448248,1.2769417955175209,,1.305711,0.0,1.305711
64,01/04/2013,"Apr 01, 2013",1.2849,1.2814,1.2868,1.2771,0.23%,1.2944350000000004,0.009297057330142513,1.3130291146602855,1.2758408853397154,,1.305711,0.0,1.305711
65,02/04/2013,"Apr 02, 2013",1.2819999999999998,1.2847,1.2879,1.2809,-0.23%,1.2932800000000004,0.009335180769538166,1.3119503615390768,1.274609638460924,,1.305711,0.0,1.305711
66,03/04/2013,"Apr 03, 2013",1.2851,1.2819999999999998,1.2865,1.2790000000000001,0.24%,1.2927000000000004,0.00946414285606227,1.3116282857121249,1.273771714287876,,1.305711,0.0,1.305711
67,04/04/2013,"Apr 04, 2013",1.2936,1.2849,1.295,1.2746,0.66%,1.2918500000000004,0.008536246247616884,1.308922492495234,1.2747775075047667,,1.305711,0.0,1.305711
68,05/04/2013,"Apr 05, 2013",1.2990000000000002,1.2936,1.3041,1.29,0.42%,1.2917700000000003,0.008461034215741795,1.308692068431484,1.2748479315685166,,1.305711,0.0,1.305711
69,08/04/2013,"Apr 08, 2013",1.3009,1.2975,1.3039,1.2963,0.15%,1.2915900000000002,0.008223253613987172,1.3080365072279745,1.275143492772026,,1.305711,0.0,1.305711
70,09/04/2013,"Apr 09, 2013",1.3082,1.3008,1.3104,1.3004,0.56%,1.2918300000000003,0.008624679704195028,1.3090793594083903,1.2745806405916102,,1.305711,0.0,1.305711
71,10/04/2013,"Apr 10, 2013",1.307,1.3082,1.3123,1.3052,-0.09%,1.2923750000000003,0.009202329868025511,1.3107796597360513,1.2739703402639493,,1.305711,0.0,1.305711
72,11/04/2013,"Apr 11, 2013",1.3103,1.3069,1.3139,1.3044,0.25%,1.2928650000000004,0.009859374980187912,1.3125837499603763,1.2731462500396244,,1.305711,0.0,1.305711
73,12/04/2013,"Apr 12, 2013",1.3112,1.3098,1.3127,1.3037,0.07%,1.2930450000000002,0.010155169865637668,1.3133553397312756,1.2727346602687248,,1.305711,0.0,1.305711
74,15/04/2013,"Apr 15, 2013",1.3036,1.3134,1.3135,1.3023,-0.58%,1.2934450000000002,0.01040247446523932,1.3142499489304789,1.2726400510695215,,1.305711,0.0,1.305711
