Date,Index
19950929,1000
19951002,985.50
19951003,967.56
19951004,965.14
19951005,912.93
19951006,909.01
19951009,914.19
19951010,891.51
19951011,870.12
19951012,858.81
19951013,891.70
19951016,890.81
19951017,875.22
19951018,893.60
19951019,909.86
19951020,873.10
19951023,853.63
19951024,860.63
19951025,838.34
19951026,790.72
19951027,784.00
19951030,779.22
19951031,728.88
19951101,784.13
19951102,754.49
19951103,767.70
19951106,746.51
19951107,712.69
19951108,728.94
19951109,664.72
19951110,668.24
19951113,677.20
19951114,636.90
19951115,629.39
19951116,662.75
19951117,702.58
19951120,688.10
19951121,662.71
19951122,663.77
19951123,663.44
19951124,697.21
19951127,726.70
19951128,717.18
19951129,736.62
19951130,783.25
19951201,843.01
19951204,896.88
19951205,900.82
19951206,941.09
19951207,934.03
19951208,1023.33
19951211,987.10
19951212,943.47
19951213,929.22
19951214,891.96
19951215,935.22
19951218,955.70
19951219,990.20
19951220,1045.06
19951221,1095.85
19951222,1031.52
19951225,1031.52
19951226,1064.33
19951227,1182.25
19951228,1134.02
19951229,1183.24
19960101,1183.24
19960102,1301.44
19960103,1374.45
19960104,1309.58
19960105,1355.15
19960108,1387.27
19960109,1355.92
19960110,1345.47
19960111,1148.90
19960112,1061.24
19960115,1054.13
19960116,1077.74
19960117,1102.96
19960118,1058.18
19960119,1145.27
19960122,1201.04
19960123,1156.85
19960124,1184.96
19960125,1239.11
19960126,1258.56
19960129,1316.46
19960130,1208.90
19960131,1211.80
19960201,1231.92
19960202,1192.38
19960205,987.64
19960206,933.92
19960207,874.24
19960208,933.43
19960209,861.18
19960212,784.53
19960213,809.01
19960214,817.75
19960215,819.22
19960216,832.66
19960219,832.57
19960220,790.36
19960221,817.79
19960222,826.62
19960223,722.63
19960226,741.56
19960227,776.56
19960228,771.28
19960229,767.27
19960301,758.60
19960304,734.78
19960305,761.82
19960306,800.07
19960307,775.90
19960308,804.46
19960311,829.64
19960312,861.49
19960313,864.60
19960314,884.22
19960315,891.83
19960318,960.68
19960319,973.55
19960320,963.03
19960321,938.57
19960322,979.68
19960325,954.31
19960326,922.05
19960327,916.52
19960328,883.89
19960329,908.82
19960401,964.53
19960402,982.57
19960403,959.18
19960404,986.81
19960405,1033.28
19960408,1092.08
19960409,1111.63
19960410,1271.81
19960411,1358.04
19960412,1294.76
19960415,1276.76
19960416,1172.06
19960417,1189.53
19960418,1184.06
19960419,1172.93
19960422,1283.18
19960423,1278.43
19960424,1238.04
19960425,1228.75
19960426,1228.38
19960429,1170.40
19960430,1139.03
19960501,1224.58
19960502,1189.19
19960503,1172.42
19960506,1119.54
19960507,1159.06
19960508,1133.56
19960509,1103.52
19960510,1023.74
19960513,1063.36
19960514,972.97
19960515,956.14
19960516,1001.37
19960517,1061.45
19960520,1111.55
19960521,1033.63
19960522,994.66
19960523,1013.76
19960524,1030.59
19960527,1030.59
19960528,1040.27
19960529,978.17
19960530,927.99
19960531,963.25
19960603,980.01
19960604,977.56
19960605,1034.56
19960606,1026.07
19960607,1019.92
19960610,980.04
19960611,1081.27
19960612,1043.11
19960613,1062.09
19960614,1089.07
19960617,1107.25
19960618,1114.89
19960619,1116.57
19960620,1110.09
19960621,1155.27
19960624,1098.78
19960625,1213.49
19960626,1262.76
19960627,1353.55
19960628,1482.41
19960701,1357.89
19960702,1396.04
19960703,1456.35
19960704,1455.62
19960705,1416.32
19960708,1456.97
19960709,1297.14
19960710,1311.15
19960711,1279.29
19960712,1315.62
19960715,1335.09
19960716,1230.96
19960717,1170.64
19960718,1051.00
19960719,997.82
19960722,998.12
19960723,975.46
19960724,980.73
19960725,987.69
19960726,974.65
19960729,1002.82
19960730,972.03
19960731,931.70
19960801,895.83
19960802,899.14
19960805,920.45
19960806,897.25
19960807,885.23
19960808,905.95
19960809,871.79
19960812,803.97
19960813,859.04
19960814,834.64
19960815,815.61
19960816,847.99
19960819,863.42
19960820,864.63
19960821,862.04
19960822,911.69
19960823,903.58
19960826,917.67
19960827,853.62
19960828,853.71
19960829,870.95
19960830,937.14
19960902,935.83
19960903,1014.63
19960904,966.33
19960905,971.16
19960906,978.35
19960909,956.14
19960910,1013.22
19960911,1030.35
19960912,1056.41
19960913,1022.82
19960916,916.14
19960917,934.10
19960918,864.04
19960919,866.98
19960920,944.48
19960923,927.77
19960924,923.13
19960925,960.05
19960926,985.40
19960927,1042.85
19960930,1093.11
19961001,1105.36
19961002,1099.28
19961003,1099.94
19961004,1208.28
19961007,1195.83
19961008,1197.39
19961009,1156.56
19961010,1114.57
19961011,1263.04
19961014,1262.78
19961015,1301.05
19961016,1252.65
19961017,1274.44
19961018,1376.91
