Date,Open,signal,gain,outcome
21/02/2013,81.175,2,,
01/03/2013,82.01,-2,0.835,0
15/04/2013,82.19,1,,
22/04/2013,82.835,-1,0.645,1
01/05/2013,81.74,1,,
10/05/2013,82.815,-1,1.075,1
15/05/2013,83.72,2,,
31/05/2013,83.1,-2,-0.62,1
07/06/2013,81.585,1,,
14/06/2013,80.755,-1,-0.83,0
08/07/2013,84.83,2,,
17/07/2013,82.685,-2,-2.145,1
02/09/2013,82.12,2,,
12/09/2013,81.49,-2,-0.63,1
19/09/2013,80.285,1,,
11/10/2013,80.58,-1,0.295,1
18/10/2013,79.77,1,,
01/11/2013,80.33,-1,0.56,1
06/12/2013,80.305,1,,
19/12/2013,80.675,-1,0.37,1
17/02/2014,80.16,1,,
20/03/2014,80.18,-1,0.02,1
07/05/2014,79.165,1,,
12/05/2014,79.915,-1,0.75,1
30/06/2014,80.075,1,,
16/07/2014,80.42,-1,0.345,1
23/07/2014,80.87,2,,
20/08/2014,81.94,-2,1.07,0
03/11/2014,87.13,2,,
07/11/2014,88.175,-2,1.045,0
22/12/2014,89.92,2,,
05/01/2015,91.73,-2,1.81,0
02/03/2015,95.375,2,,
06/03/2015,96.39,-2,1.015,0
29/04/2015,96.245,1,,
01/05/2015,94.94,-1,-1.305,0
27/05/2015,97.315,2,,
04/06/2015,95.43,-2,-1.885,1
13/08/2015,96.37,1,,
24/08/2015,94.88,-1,-1.49,0
15/10/2015,93.98,1,,
23/10/2015,96.595,-1,2.615,1
26/10/2015,97.235,2,,
09/11/2015,99.375,-2,2.14,0
04/12/2015,98.015,1,,
18/12/2015,99.05,-1,1.035,1
04/02/2016,97.185,1,,
10/02/2016,96.03,-1,-1.155,0
17/03/2016,95.775,1,,
18/03/2016,94.8,-1,-0.975,0
29/04/2016,93.72,1,,
03/05/2016,92.62,-1,-1.1,0
09/06/2016,93.53,1,,
15/06/2016,95.02,-1,1.49,1
27/06/2016,96.115,2,,
20/07/2016,97.1,-2,0.985,0
01/08/2016,95.49,1,,
19/08/2016,94.18,-1,-1.31,0
05/10/2016,96.08,2,,
12/10/2016,97.52,-2,1.44,0
15/11/2016,99.81,2,,
18/11/2016,101.07,-2,1.26,0
15/12/2016,102.48,2,,
05/01/2017,102.065,-2,-0.415,1
18/01/2017,100.33,1,,
10/02/2017,100.685,-1,0.355,1
16/03/2017,100.345,1,,
27/03/2017,99.335,-1,-1.01,0
26/04/2017,98.725,1,,
10/05/2017,99.34,-1,0.615,1
17/05/2017,97.99,1,,
23/05/2017,96.83,-1,-1.16,0
28/06/2017,96.175,1,,
17/07/2017,94.885,-1,-1.29,0
28/08/2017,92.35,1,,
11/09/2017,91.39,-1,-0.96,0
28/09/2017,93.26,2,,
20/10/2017,93.045,-2,-0.215,1
23/11/2017,93.195,1,,
07/12/2017,93.565,-1,0.37,1
29/12/2017,92.355,1,,
15/01/2018,90.595,-1,-1.76,0
26/03/2018,89.04,1,,
29/03/2018,89.725,-1,0.685,1
24/04/2018,90.695,2,,
01/05/2018,91.62,-2,0.925,0
15/06/2018,94.955,2,,
26/06/2018,93.95,-2,-1.005,1
10/08/2018,95.48,2,,
15/08/2018,96.55,-2,1.07,0
18/09/2018,94.18,1,,
28/09/2018,94.63,-1,0.45,1
25/10/2018,96.12,2,,
07/11/2018,95.765,-2,-0.355,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
