Date,Open,signal
2013-02-21,81.175,2.0
2013-03-01,82.01,-2.0
2013-04-15,82.19,1.0
2013-04-22,82.835,-1.0
2013-05-01,81.74,1.0
2013-05-10,82.815,-1.0
2013-05-15,83.72,2.0
2013-05-31,83.1,-2.0
2013-06-07,81.585,1.0
2013-06-14,80.755,-1.0
2013-07-08,84.83,2.0
2013-07-17,82.685,-2.0
2013-09-02,82.12,2.0
2013-09-12,81.49,-2.0
2013-09-19,80.285,1.0
2013-10-11,80.58,-1.0
2013-10-18,79.77,1.0
2013-11-01,80.33,-1.0
2013-12-06,80.305,1.0
2013-12-19,80.675,-1.0
2014-02-17,80.16,1.0
2014-03-20,80.18,-1.0
2014-05-07,79.165,1.0
2014-05-12,79.915,-1.0
2014-06-30,80.075,1.0
2014-07-16,80.42,-1.0
2014-07-23,80.87,2.0
2014-08-20,81.94,-2.0
2014-11-03,87.13,2.0
2014-11-07,88.175,-2.0
2014-12-22,89.92,2.0
2015-01-05,91.73,-2.0
2015-03-02,95.375,2.0
2015-03-06,96.39,-2.0
2015-04-29,96.245,1.0
2015-05-01,94.94,-1.0
2015-05-27,97.315,2.0
2015-06-04,95.43,-2.0
2015-08-13,96.37,1.0
2015-08-24,94.88,-1.0
2015-10-15,93.98,1.0
2015-10-23,96.595,-1.0
2015-10-26,97.235,2.0
2015-11-09,99.375,-2.0
2015-12-04,98.015,1.0
2015-12-18,99.05,-1.0
2016-02-04,97.185,1.0
2016-02-10,96.03,-1.0
2016-03-17,95.775,1.0
2016-03-18,94.8,-1.0
2016-04-29,93.72,1.0
2016-05-03,92.62,-1.0
2016-06-09,93.53,1.0
2016-06-15,95.02,-1.0
2016-06-27,96.115,2.0
2016-07-20,97.1,-2.0
2016-08-01,95.49,1.0
2016-08-19,94.18,-1.0
2016-10-05,96.08,2.0
2016-10-12,97.52,-2.0
2016-11-15,99.81,2.0
2016-11-18,101.07,-2.0
2016-12-15,102.48,2.0
2017-01-05,102.065,-2.0
2017-01-18,100.33,1.0
2017-02-10,100.685,-1.0
2017-03-16,100.345,1.0
2017-03-27,99.335,-1.0
2017-04-26,98.725,1.0
2017-05-10,99.34,-1.0
2017-05-17,97.99,1.0
2017-05-23,96.83,-1.0
2017-06-28,96.175,1.0
2017-07-17,94.885,-1.0
2017-08-28,92.35,1.0
2017-09-11,91.39,-1.0
2017-09-28,93.26,2.0
2017-10-20,93.045,-2.0
2017-11-23,93.195,1.0
2017-12-07,93.565,-1.0
2017-12-29,92.355,1.0
2018-01-15,90.595,-1.0
2018-03-26,89.04,1.0
2018-03-29,89.725,-1.0
2018-04-24,90.695,2.0
2018-05-01,91.62,-2.0
2018-06-15,94.955,2.0
2018-06-26,93.95,-2.0
2018-08-10,95.48,2.0
2018-08-15,96.55,-2.0
2018-09-18,94.18,1.0
2018-09-28,94.63,-1.0
2018-10-25,96.12,2.0
2018-11-07,95.765,-2.0
2018-12-21,95.875,1.0
