Date,signal,Settle,MA,Upper Band,Lower Band,Upper Band Sell Point,Lower Band Sell Point,
02/01/2013,0,79.948,,,,,,
03/01/2013,0,80.515,,,,,,
04/01/2013,0,80.61,,,,,,
07/01/2013,0,80.369,,,,,,
08/01/2013,0,80.445,,,,,,
09/01/2013,0,80.677,,,,,,
10/01/2013,0,79.817,,,,,,
11/01/2013,0,79.611,,,,,,
14/01/2013,0,79.54,,,,,,
15/01/2013,0,79.832,,,,,,
16/01/2013,0,79.854,,,,,,
17/01/2013,0,79.711,,,,,,
18/01/2013,0,80.116,,,,,,
21/01/2013,0,80.116,,,,,,
22/01/2013,0,79.973,,,,,,
23/01/2013,0,79.99,,,,,,
24/01/2013,0,80.007,,,,,,
25/01/2013,0,79.82,,,,,,
28/01/2013,0,79.868,,,,,,
29/01/2013,0,79.624,80.02215,80.68111776,79.36318224,,,
30/01/2013,0,79.326,79.99105,80.71644299,79.26565701,,,
31/01/2013,0,79.226,79.9266,80.68273184,79.17046816,,,
01/02/2013,0,79.135,79.85285,80.61567246,79.09002754,,,
04/02/2013,0,79.573,79.81305,80.54649597,79.07960403,,,
05/02/2013,0,79.533,79.76745,80.44968089,79.08521911,,,
06/02/2013,0,79.767,79.72195,80.26204424,79.18185576,,,
07/02/2013,0,80.257,79.74395,80.33149965,79.15640035,,,
08/02/2013,0,80.316,79.7792,80.41335884,79.14504116,,,
11/02/2013,0,80.389,79.82165,80.49831632,79.14498368,,,
12/02/2013,0,80.163,79.8382,80.53106668,79.14533332,,,
13/02/2013,0,80.167,79.85385,80.56142085,79.14627915,,,
14/02/2013,0,80.538,79.8952,80.65897237,79.13142763,,,
15/02/2013,0,80.576,79.9182,80.73317205,79.10322795,,,
18/02/2013,0,80.576,79.9412,80.80188498,79.08051502,,,
19/02/2013,0,80.545,79.9698,80.8699219,79.0696781,,,
20/02/2013,2,81.155,80.02805,81.06607957,78.99002043,82.7781,,settle > upper band
21/02/2013,0,81.551,80.10525,81.33709932,78.87340068,82.7781,,
22/02/2013,0,81.585,80.1935,81.57478889,78.81221111,82.7781,,
25/02/2013,0,81.777,80.28895,81.82251467,78.75538533,82.7781,,
26/02/2013,0,81.94,80.40475,82.06455226,78.74494774,82.7781,,
27/02/2013,0,81.672,80.52205,82.1918855,78.8522145,82.7781,,
28/02/2013,0,82.003,80.6609,82.33837631,78.98342369,82.7781,,
01/03/2013,0,82.358,80.82205,82.50145614,79.14264386,82.7781,,
04/03/2013,0,82.255,80.95615,82.64349043,79.26880957,82.7781,,
05/03/2013,0,82.147,81.08685,82.71698537,79.45671463,82.7781,,
06/03/2013,0,82.507,81.22385,82.84780496,79.59989504,82.7781,,
07/03/2013,0,82.123,81.31715,82.92249872,79.71180128,82.7781,,
08/03/2013,0,82.731,81.4379,83.08658322,79.78921678,82.7781,,
11/03/2013,0,82.58,81.54745,83.19395897,79.90094103,82.7781,,
12/03/2013,0,82.595,81.66905,83.24638237,80.09171763,82.7781,,
13/03/2013,-2,82.902,81.8058,83.31111639,80.30048361,82.7781,,settle > upper band stop
14/03/2013,0,82.623,81.91005,83.3364458,80.4836542,82.7781,,
15/03/2013,0,82.256,81.99405,83.28802813,80.70007187,82.7781,,
18/03/2013,0,82.574,82.09395,83.23393008,80.95396992,82.7781,,
19/03/2013,0,82.574,82.1954,83.10348951,81.28731049,82.7781,,
20/03/2013,0,82.574,82.26635,83.05163473,81.48106527,82.7781,,
21/03/2013,0,82.905,82.33405,83.09402934,81.57407066,82.7781,,
22/03/2013,0,82.529,82.38125,83.06245713,81.70004287,82.7781,,
25/03/2013,0,82.995,82.44215,83.11410395,81.77019605,82.7781,,
26/03/2013,0,83.048,82.49755,83.1774216,81.8176784,82.7781,,
27/03/2013,0,83.411,82.5845,83.26461455,81.90438545,82.7781,,
28/03/2013,0,83.175,82.6431,83.31461289,81.97158711,82.7781,,
01/04/2013,0,82.899,82.67015,83.33711575,82.00318425,82.7781,,
02/04/2013,0,83.092,82.712,83.37453996,82.04946004,82.7781,,
03/04/2013,0,82.861,82.7477,83.35962846,82.13577154,82.7781,,
04/04/2013,0,82.795,82.7621,83.36416907,82.16003093,82.7781,,
05/04/2013,0,82.603,82.7861,83.31859973,82.25360027,82.7781,,
08/04/2013,0,82.869,82.793,83.32604109,82.25995891,82.7781,,
09/04/2013,0,82.414,82.7847,83.33561891,82.23378109,82.7781,,
10/04/2013,0,82.634,82.78665,83.33514003,82.23815997,82.7781,,
11/04/2013,0,82.325,82.7578,83.33872602,82.17687398,82.7781,,
12/04/2013,0,82.406,82.74695,83.34538345,82.14851655,82.7781,,
15/04/2013,0,82.507,82.7595,83.32589333,82.19310667,82.7781,,
16/04/2013,1,81.823,82.72195,83.41742523,82.02647477,82.7781,80.18654,settle < lower band
17/04/2013,-1,82.791,82.7328,83.42546921,82.04013079,82.7781,80.18654,settle > MA
18/04/2013,0,82.681,82.73815,83.42747526,82.04882474,82.7781,80.18654,
19/04/2013,0,82.846,82.7352,83.42214471,82.04825529,82.7781,80.18654,
