,clsPrc-9:00,clsPrc-9:15,clsPrc-9:30,clsPrc-9:45,clsPrc-10:00,clsPrc-10:15,clsPrc-10:30,clsPrc-10:45,clsPrc-11:00,clsPrc-11:15,clsPrc-11:30,clsPrc-11:45,clsPrc-12:00,std-11:00-12:00,std-30-day-high-11:00-12:00,std-30-day-low-11:00-12:00
2007-12-13,1490.25,1489.0,1490.25,1492.25,1486.5,1489.25,1489.75,1488.25,1482.75,1484.0,1484.0,1486.25,1487.0,1.8547236990991405,0.0,0.0
2007-12-14,1487.0,1487.25,1487.5,1489.25,1488.25,1491.5,1490.75,1493.5,1497.0,1494.0,1493.75,1493.0,1491.0,1.4949916387726052,0.0,0.0
2007-12-17,1474.0,1472.5,1472.5,1471.5,1468.25,1468.5,1470.75,1472.75,1473.5,1472.0,1470.75,1467.5,1469.25,1.6688319268278637,0.0,0.0
2007-12-18,1468.75,1468.75,1467.5,1465.5,1466.75,1461.25,1463.25,1459.25,1462.0,1460.5,1457.25,1457.75,1450.5,2.305428376679701,0.0,0.0
2007-12-19,1466.25,1467.5,1465.25,1466.0,1470.5,1471.75,1471.0,1474.25,1471.75,1469.75,1461.5,1463.5,1459.0,2.7138533490223824,0.0,0.0
2007-12-20,1471.75,1474.0,1474.25,1471.5,1466.25,1465.75,1464.25,1466.75,1463.0,1463.0,1462.0,1460.5,1461.0,3.8131351929875237,0.0,0.0
2007-12-21,1486.5,1488.0,1487.5,1487.75,1486.75,1489.5,1490.25,1490.0,1488.25,1490.5,1489.5,1487.75,1488.75,1.3095800853708794,0.0,0.0
2007-12-24,1502.25,1502.0,1501.5,1503.0,1505.5,1505.5,1505.25,1504.0,1504.5,1505.0,1505.5,1505.25,1504.75,1.624807680927192,0.0,0.0
2007-12-26,1505.25,1501.25,1502.25,1502.75,1500.75,1502.25,1503.5,1502.0,1503.0,1503.25,1502.0,1502.5,1501.5,0.9000000000000001,0.0,0.9000000000000001
2007-12-27,1502.75,1503.25,1504.0,1502.25,1499.5,1502.0,1502.0,1499.75,1498.25,1498.25,1498.5,1497.75,1498.25,1.4352700094407325,0.0,0.0
2007-12-28,1498.5,1498.0,1497.75,1496.75,1495.75,1490.5,1491.25,1490.75,1489.0,1490.5,1491.0,1492.0,1488.0,2.9563490998188966,0.0,0.0
2007-12-31,1487.0,1483.5,1482.5,1482.25,1479.5,1482.75,1481.0,1477.5,1478.25,1477.25,1474.75,1476.5,1475.5,1.2103718436910205,0.0,1.2103718436910205
2008-01-02,1478.75,1478.25,1476.0,1479.75,1477.5,1467.5,1467.75,1466.25,1465.0,1463.0,1461.25,1457.75,1460.5,5.102450391723569,0.0,0.0
